drug,l2s2_n_total,l2s2_n_signatures,l2s2_n_significant,l2s2_n_significant_mimic,l2s2_n_significant_general,l2s2_signatures,l2s2_mimic_signatures,l2s2_general_signatures,l2s2_n_sig_pval,l2s2_min_pvalue,l2s2_min_adj_pvalue,l2s2_min_pvalue_general,l2s2_min_adj_pvalue_general,l2s2_min_pvalue_up,l2s2_min_adj_pvalue_up,l2s2_mean_neglog10p,l2s2_max_neglog10p,l2s2_mean_odds_ratio,l2s2_max_odds_ratio,l2s2_direction,l2s2_retrieval_sort,l1k_n_total,l1k_n_signatures,l1k_signatures,l1k_mean_score,l1k_max_score,l1k_false_rescue,n_engines,n_total_signatures,regulatory_status,approved_jurisdiction,mechanism,target_axis,candidate_tier,lincs_eligible,lookup_source,mechanism_flag,firewall_status,firewall_reason,lincs_drug,signature_has_nominal_genes
lofexidine,3,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,lofexidine,True
lorazepam,9,5,0,0,0,,,,0,0.9999999999996566,1.0,0.4685170224832963,1.0,0.0037958323931591,0.1025229969748959,-0.0,0.0,0.194,1.222,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,lorazepam,True
lorcaserin,2,1,0,0,0,,,,0,1.0,1.0,0.9985380030683004,1.0,0.0302101280362198,0.4957283825652637,-0.0,-0.0,0.189,0.379,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,lorcaserin,False
losartan,6,3,0,1,0,,GSE22206_fibro_case_v_control,,0,0.9999999999989458,1.0,0.9818751153520308,1.0,0.0009107010665564,0.0304496875052413,0.0,0.0,0.132,0.549,MIMIC,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,losartan,True
lovastatin,5,3,0,1,0,,GSE22206_fibro_case_v_control,,0,0.9999999999997958,1.0,0.9983587628937772,1.0,4.736921245753773e-06,0.0004366668013687,0.0,0.0,0.1,0.383,MIMIC,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,lovastatin,True
luliconazole,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,luliconazole,False
lurasidone,3,1,0,0,0,,,,0,0.9999999999999724,1.0,0.999999993851582,1.0,0.007389745092186,0.2080097649992232,-0.0,0.0,0.017,0.02,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,lurasidone,False
mannitol,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,mannitol,True
maprotiline,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,maprotiline,False
maraviroc,3,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,maraviroc,True
maribavir,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,maribavir,True
masoprocol,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,masoprocol,False
mebendazole,6,2,0,1,0,,GSE22206_fibro_case_v_control,,0,0.9999999999996522,1.0,0.8884786961906963,1.0,4.0746820282540706e-10,8.002321183314626e-08,-0.0,0.0,0.206,0.734,MIMIC,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,mebendazole,True
mecamylamine,1,1,0,0,0,,,,0,1.0000000000001783,1.0,0.9912149553861804,1.0,0.0299925638271561,0.4957283825652637,-0.0,-0.0,0.46,0.46,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,mecamylamine,False
meclizine,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,meclizine,False
mefloquine,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,mefloquine,False
meloxicam,1,1,0,0,0,,,,0,1.000000000000119,1.0,0.9999643903919372,1.0,0.0304697512042083,0.4957283825652637,-0.0,-0.0,0.283,0.283,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,meloxicam,False
mercaptopurine,1,1,0,0,0,,,,0,1.0000000000002442,1.0,0.9999999978853054,1.0,0.0303481641103709,0.4971541310606035,-0.0,-0.0,0.064,0.064,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,mercaptopurine,True
mestranol,3,2,0,0,0,,,,0,0.9999999999990372,1.0,0.999990491834924,1.0,0.0074693190837354,0.298219481005509,0.0,0.0,0.115,0.282,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,mestranol,True
metaraminol,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,metaraminol,False
metformin,1,1,0,0,0,,,,0,0.9999999999990826,1.0,0.9999870448453066,1.0,0.0151326464553562,0.4111687619257735,0.0,0.0,0.288,0.288,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,metformin,True
methimazole,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,methimazole,False
methotrexate,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,methotrexate,True
methylnaltrexone,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,methylnaltrexone,True
methylphenidate,4,2,0,0,0,,,,0,1.0000000000001363,1.0,0.1313220978527573,1.0,0.0068484929314497,0.1424076516595889,-0.0,-0.0,0.71,1.919,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,methylphenidate,True
metoclopramide,1,1,0,0,0,,,,0,1.0000000000000555,1.0,0.9999999974156925,1.0,0.0303831839142265,0.3816574455090226,-0.0,-0.0,0.015,0.015,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,metoclopramide,False
metronidazole,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,metronidazole,False
midodrine,2,2,0,0,0,,,,0,0.9999999999996966,1.0,0.999910959235819,1.0,0.0150050222931968,0.409868982514383,0.0,0.0,0.217,0.301,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,midodrine,True
milnacipran,3,3,0,0,0,,,,0,0.9999999999999382,1.0,0.8210111613173672,1.0,0.0303158143037262,0.4957283825652637,0.0,0.0,0.399,0.791,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,milnacipran,True
milrinone,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,milrinone,True
minoxidil,2,2,0,0,0,,,,0,0.9999999999986222,1.0,0.999998356834552,1.0,0.0151760291510521,0.3985000417927636,0.0,0.0,0.129,0.257,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,minoxidil,True
mitomycin,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,cytotoxic_cancer,REJECT,not_matched_to_candidate_or_axis; cytotoxic_or_cancer_mechanism; no_significant_fdr_lincs_signal,mitomycin,False
mln 2480,2,2,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,mln 2480,True
moxifloxacin,4,2,0,0,0,,,,0,0.9999999999990709,1.0,0.9999815716422302,1.0,0.0153798416512214,0.2427393415187888,0.0,0.0,0.102,0.274,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,moxifloxacin,True
naftifine,1,1,0,0,0,,,,0,0.9999999999996206,1.0,0.9995995692468566,1.0,0.0149983928763196,0.3985000417927636,0.0,0.0,0.361,0.361,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,naftifine,False
nalbuphine,1,1,0,0,0,,,,0,0.9999999999997732,1.0,0.999995676640672,1.0,0.0305743410885598,0.6189753487724887,0.0,0.0,0.249,0.249,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,nalbuphine,True
nebivolol,1,1,0,0,0,,,,0,0.9999999999996816,1.0,0.999999995354564,1.0,0.0073124534975572,0.298219481005509,0.0,0.0,0.093,0.093,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,nebivolol,True
nelarabine,1,1,0,0,0,,,,0,1.0000000000004383,1.0,0.9998304073107852,1.0,0.0074362707012697,0.3105094554827977,-0.0,-0.0,0.359,0.359,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,nelarabine,False
netupitant,1,1,0,0,0,,,,0,0.9999999999998996,1.0,0.999602995613577,1.0,0.0303213661422564,0.4957283825652637,0.0,0.0,0.338,0.338,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,netupitant,False
nicardipine,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,nicardipine,False
nicotinamide,2,1,0,0,0,,,,0,0.9999999999996206,1.0,0.9999999637582134,1.0,0.0017689474455745,0.1502877063517061,0.0,0.0,0.119,0.134,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,SUPPLEMENT_FOOD_GRAS,none (dietary supplement / NDI; not an approved medication),NAD+ precursor; SIRT2 deacetylation of BUBR1 K668 blocks ubiquitylation/proteasomal decay and raises BUBR1 protein in vivo,SIRT2/BUBR1 K668,Tier1-STABILISATION,False,track2_candidates,mechanism_ok,REJECT,regulatory_status=SUPPLEMENT_FOOD_GRAS; no_significant_fdr_lincs_signal,nicotinamide,True
nifedipine,4,2,0,0,0,,,,0,0.9999999999993184,1.0,1.0,1.0,0.0075174527447775,0.1645014523943773,0.0,0.0,0.01,0.014,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,nifedipine,False
nimodipine,8,4,0,1,0,,GSE22206_fibro_case_v_control,,0,1.0,1.0,0.1158474800971778,1.0,6.288180472344462e-06,0.0005359190791241,-0.0,-0.0,0.393,1.981,MIMIC,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,nimodipine,True
norfloxacin,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,norfloxacin,False
nortriptyline,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,nortriptyline,False
olanzapine,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,olanzapine,True
olmesartan medoxomil,4,2,0,1,0,,GSE22206_fibro_case_v_control,,0,0.9999999999997348,1.0,0.9999999931040005,1.0,0.0004318055810379,0.0299747177050075,0.0,0.0,0.015,0.026,MIMIC,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,olmesartan medoxomil,True
ondansetron,1,1,0,0,0,,,,0,0.9999999999998732,1.0,0.9993896360562624,1.0,0.0303045090767102,0.6189753487724887,0.0,0.0,0.35,0.35,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,ondansetron,True
orciprenaline,3,2,0,1,0,,GSE22206_case_v_control,,0,1.0,1.0,0.9710233505300542,1.0,0.000445881432203,0.0374333422156236,-0.0,-0.0,0.325,0.583,MIMIC,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,orciprenaline,True
oxandrolone,2,1,0,0,0,,,,0,1.0000000000003482,1.0,0.9999999609830308,1.0,0.0074664238385356,0.3220767539252558,-0.0,-0.0,0.133,0.145,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,oxandrolone,True
oxaprozin,1,1,0,0,0,,,,0,0.9999999999998332,1.0,0.999064342523694,1.0,0.0302688898903366,0.6189753487724887,0.0,0.0,0.364,0.364,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,oxaprozin,True
oxybenzone,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,oxybenzone,False
pa 824,1,1,0,0,0,,,,0,0.9999999999996672,1.0,0.993260333203718,1.0,0.0073062837666321,0.3105094554827977,0.0,0.0,0.487,0.487,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,pa 824,False
palonosetron,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,palonosetron,False
paracetamol,5,3,0,0,0,,,,0,0.9999999999989442,1.0,0.9999999658195404,1.0,0.0037253438502513,0.2179454905769217,0.0,0.0,0.058,0.176,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,paracetamol,True
pargyline,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,pargyline,False
pasireotide,1,1,0,0,0,,,,0,1.000000000000374,1.0,0.997603251428467,1.0,0.0301593205628959,0.4957283825652637,-0.0,-0.0,0.398,0.398,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,pasireotide,False
pemetrexed,5,2,0,2,0,,GSE22206_case_v_control;GSE22206_fibro_case_v_control,,0,0.9999999999992144,1.0,0.0227404936286742,1.0,9.49821804216854e-07,9.750784294653476e-05,0.0,0.0,0.691,2.15,MIMIC,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,pemetrexed,True
perampanel,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,perampanel,False
phenacetin,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,phenacetin,False
phenelzine,3,2,0,0,0,,,,0,1.0000000000002007,1.0,0.9999999596730614,1.0,0.0301359936855514,0.4197731833302011,-0.0,-0.0,0.083,0.15,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,phenelzine,True
phenylephrine,1,1,0,0,0,,,,0,1.000000000000096,1.0,0.9999999989124968,1.0,0.0149846994661667,0.393971432020523,-0.0,-0.0,0.072,0.072,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,phenylephrine,True
pimavanserin,2,2,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,pimavanserin,True
pimecrolimus,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,APPROVED_MEDICATION,,FK506-binding protein 1A inhibitor,FK506-binding protein 1A inhibitor,,True,chembl_axis_approved,mechanism_ok,REJECT,no_significant_fdr_lincs_signal,pimecrolimus,False
pinacidil,2,2,0,0,0,,,,0,0.9999999999995522,1.0,0.99999131395869,1.0,0.0305469817723742,0.6189753487724887,0.0,0.0,0.13,0.259,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,pinacidil,True
pioglitazone,1,1,0,0,0,,,,0,1.000000000000185,1.0,1.0000000026168885,1.0,0.0306587150989327,0.4783980818633037,-0.0,-0.0,0.011,0.011,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,pioglitazone,False
piperazine,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,piperazine,False
pomalidomide,1,1,0,0,0,,,,0,0.9999999999999958,1.0,0.99938396117786,1.0,0.0302870287318032,0.4957283825652637,0.0,0.0,0.351,0.351,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,pomalidomide,False
pramipexole,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,pramipexole,True
pravastatin,4,3,0,0,0,,,,0,0.9999999999997776,1.0,0.9999999610852836,1.0,0.0152004273848545,0.3816574455090226,0.0,0.0,0.028,0.09,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,pravastatin,True
