drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
-666,BRD-A18763547,A375,10.0,24.0,0.1175,425,2729027,,"ACTN1,BUB1,CCNF,CDH2,CENPF,CSE1L,DNAJC9,HN1,KIAA0101,LSM4,LSM6,MARCKSL1,MCM10,MGST2,NME4,OIP5,PAFAH1B3,POLA2,POLE2,PTPLB,RNASEH2A,SPC25,TACC3,TIMELESS,TK1,TPX2,TRIP13,TYMS","ASS1,DDIT3,DNAJB9,JUND,MYO1D,OPTN,P2RX4,RRAGC,SLC38A1,SLC7A11,SLC7A7,SOX11,SQSTM1,TPP1,WARS"
COT-10b,BRD-K18190982,HCC515,44.4,24.0,0.1175,408,73707373,,"BOP1,BUB1,C20ORF27,CCNB1,CCNF,CDC20,CDH2,CENPF,CSE1L,CTPS,HMMR,HN1,KIAA0101,KPNA2,MCM10,MCM4,NME1,NME4,RUVBL2,SPC25,TK1,TPX2,TRIP13,TYMS","ARMCX3,CEBPG,DDIT3,DNAJB2,DNAJB9,GOLGB1,HLA-A,HLA-B,HLA-E,HMGCR,LDLR,NEU1,NFE2L1,OPTN,P2RX4,RHOQ,RRAGC,SCD,SLC7A11,TPP1"
"3,5-dichloro-2-hydroxy-N-(2-methoxy-5-phenylphenyl)benzenesulfonamide",BRD-K43620258,HT29,80.0,24.0,0.1175,458,16747776,,"C18ORF10,CCNF,CDC20,CDH2,CENPF,DTYMK,HMGB3,HMMR,HN1,KIAA0101,LSM6,MARCKSL1,MCM10,MCM4,NME4,OIP5,PAFAH1B3,PDSS1,POLA2,POLE2,POLR2L,RANBP1,SLC25A10,SPC25,STRA13,TACC3,TPX2,TRIP13,TYMS","ARMCX3,CCPG1,CEBPG,DDIT3,DNAJB2,DNAJB9,GOLGB1,LDLR,LHFPL2,NFE2L1,P2RX4,RAP1GAP,RHOQ,SLC7A11,SQSTM1,WARS"
Loperamide hydrochloride,BRD-K61250553,HT29,10.0,24.0,0.1175,316,71420,,"BUB1,CDH2,CSE1L,CTPS,DNAJC9,LSM6,MCM10,NME1,PDSS1,POLA2,POLE2,SLC25A15,SPC25,TACC3,TPX2,TRIP13,TYMS","ARMCX3,ASS1,CBS,CCPG1,DDIT3,DNAJB2,DNAJB9,GDF15,HMGCR,JUND,LDLR,MKNK2,NEU1,NFE2L1,OPTN,PPFIBP2,RAP1GAP,RHOQ,RNASE4,RRAGC,SCD,SLC38A1,SLC7A11,SQSTM1,TPP1,WARS"
PD-184352,BRD-K05104363,HT29,10,24,0.1175,427,6918454,,"BOP1,BUB1,CCNF,CD3EAP,CDC20,CHEK1,CSE1L,CTPS,MCM10,MCM4,MRTO4,NME1,OIP5,PA2G4,PDSS1,PFAS,POLD2,POLE2,PUS7,RANBP1,RRS1,SPC25,SYNCRIP,TACC3,TK1,TPX2,TRIP13,TYMS","ARMCX3,BTN3A2,CCPG1,CTSB,DNAJB2,EFHC1,GPR137B,GULP1,HLA-E,NEU1,OPTN,RARRES3,RRAGC,TPP1"
NVP-AEW541,BRD-K20696416,HT29,10,24,0.1175,329,,,"BOP1,BUB1,CDC20,CHEK1,CSE1L,HMMR,KIAA0101,MCM10,MCM4,MRTO4,NME1,OIP5,PA2G4,POLA2,POLD2,RANBP1,RNASEH2A,RUVBL2,SPC25,TACC3,TK1,TPX2,TRIP13,TYMS","C10ORF10,CAMLG,CBS,CCPG1,DNAJB2,GULP1,HLA-B,HLA-E,HMGCR,LDLR,NEU1,NFE2L1,OPTN,P2RX4,RAP1GAP,RRAGC,SCD,TPP1"
GDC-0980,BRD-A18328003,HT29,10,24,0.1175,367,,,"BOP1,BUB1,CCNF,CDC20,CHEK1,CSE1L,CTPS,DDX56,DNAJC9,KIAA0101,LSM4,MCM10,MCM4,MRTO4,NME1,OIP5,PDSS1,POLA2,POLD2,POLE2,RANBP1,RNASEH2A,SPC25,TACC3,TK1,TPX2,TRIP13,TUBG1,TYMS","ABCC3,C10ORF10,CAMLG,GPR137B,GULP1,HLA-E,LETMD1,MYO1D,OPTN,RAP1GAP,RHOQ,RRAGC,TPP1"
JW-7-24-1,BRD-K57282030,BT20,10,24,0.1175,362,69923936,,"ACTN1,ANXA1,BUB1,C5ORF13,CCNF,CDC20,CENPF,CTPS,HMMR,HN1,KIAA0101,KPNA2,LSM6,MCM4,OIP5,PAFAH1B3,PPP1R14B,RANBP1,SPC25,TACC3,TK1,TPX2,TRIP13,TYMS","C10ORF10,CTSB,DDIT3,DNAJB2,DNAJB9,GDF15,GOLGB1,GULP1,LMBRD1,NEU1,NFE2L1,PIR,RAP1GAP,RNASE4,RRAGC,SQSTM1,ST13,TPP1"
JW-7-24-1,BRD-K57282030,HT29,10,24,0.1175,292,69923936,,"BOP1,BUB1,C20ORF27,CCNF,CDC20,CHEK1,CSE1L,DNAJC9,KIAA0101,LSM6,MCM10,MCM4,NME1,OIP5,PDSS1,RANBP1,RNASEH2A,SPC25,TACC3,TK1,TPX2,TRIP13,TYMS","ABCC3,CCPG1,DDIT3,DNAJB2,DUSP22,GDF15,HLA-E,LDLR,LETMD1,NEU1,OPTN,P2RX4,RAP1GAP,RHOQ,RRAGC,SCD,SLC7A7,SQSTM1,TM4SF1,TPP1"
saracatinib,BRD-K19540840,MCF10A,10,24,0.1175,387,10302451,,"ACTN1,BOP1,BUB1,CCNB1,CCNF,CD3EAP,CDC20,CDH2,CENPF,CSE1L,DNAJC9,EMG1,H2AFZ,HMMR,KIAA0101,MCM10,MCM4,POLE2,RANBP1,RNASEH2A,SPC25,TACC3,TK1,TPX2,TRIP13,TYMS","ASS1,C14ORF132,CAMLG,CFLAR,DNAJB2,HMGCR,IFIH1,LDLR,LMBRD1,LSS,OPTN,SCD,SGCE,SLC7A7,TNS3"
AZD8055,BRD-K69932463,MCF7,10.0,24.0,0.1146,385,25262965,,"BUB1,CCNB1,CCNF,CDC20,CENPF,CHEK1,CSE1L,DNAJC9,H2AFZ,HMMR,HN1,KIAA0101,KPNA2,MCM10,MCM4,OIP5,PDSS1,POLA2,POLE2,PSMC3,RANBP1,RNASEH2A,SPC25,STIP1,STRA13,TACC3,TK1,TPX2,TRIP13,TUBG1,TYMS","ABCC3,CAMLG,CTDSP2,EIF4A2,HLA-E,LETMD1,RAP1GAP,SQSTM1,TNS3,TPP1"
HG-6-64-01,BRD-U51024685,A375,1.11,24,0.1146,338,,,"BUB1,CCNF,CDC20,CENPF,DNAJC9,HN1,KIAA0101,LSM6,MCM10,MCM4,MT1X,PDSS1,POLA2,POLE2,POP7,RANBP1,SFPQ,SPC25,TACC3,TIMELESS,TPX2,TRIP13,TUBG1,TYMS","ASS1,CAMLG,CBS,CCPG1,CTDSP2,DDIT3,DNAJB2,GULP1,HLA-E,HS1BP3,KLF9,LETMD1,MYO1D,NFE2L1,RHOQ,TPP1,WARS"
radicicol,BRD-A39996500,MCF10A,3.33,24,0.1146,356,5311380,,"ABCF2,BOP1,BUB1,CCNF,CD3EAP,CDC20,CHEK1,CSE1L,EMG1,GINS4,MCM10,MCM4,MRTO4,OIP5,PDSS1,PFAS,POLD2,POLE2,PUS7,RANBP1,RRS1,SLC25A15,SPC25,TACC3,TK1,TPX2,TRIP13","B3GNT1,CCPG1,DNAJB2,GDF15,GOLGB1,HLA-E,LMBRD1,NFE2L1,OPTN,PIR,RAP1GAP,SLC7A7,SQSTM1"
