drug,approved,odds_ratio,pvalue,adj_pvalue,pvalue_up,adj_pvalue_up,pvalue_down,adj_pvalue_down,count_significant,count_insignificant,count_up_significant
calcitriol,True,0.2315010303802352,0.9999999094490447,1,0.015449570994544559,0.4140006316106816,1.0000000000012705,1,6,1328,6
vandetanib,True,0.22638047130380326,0.9999999604957879,1,0.01545342369561626,0.4140006316106816,1.000000000001586,1,6,1358,6
sorafenib,True,0.223415271420168,0.999999991714535,1,0.015455655146241884,0.4140006316106816,1.000000000001838,1,6,1376,6
fostamatinib,True,0.16920789525586757,1.0000000388217007,1,0.01549650547716226,0.4140006316106816,1.0000000000007672,1,6,1816,6
crizotinib,True,0.16361080364022904,1.0000000399141105,1,0.015500729547273795,0.4140006316106816,0.9999999999980178,1,6,1878,6
olaparib,True,0.15422843160916053,1.0000000110751432,1,0.015507812911725163,0.4140006316106816,1.0000000000015148,1,6,1992,6
dinoprostone,True,1.9520447377213173,0.15867045901831944,1,0.028994322789946923,0.602522879599936,1.000000000000103,1,5,133,5
methylphenidate,True,1.6135547337044314,0.2605346561106245,1,0.029373489496193544,0.602522879599936,1.0000000000001363,1,5,161,5
pentobarbital,True,1.2931831240890164,0.42200352536492547,1,0.029736873723424272,0.602522879599936,1.0000000000002465,1,5,201,5
alprostadil,True,0.7246906093076154,0.8723933410019012,1,0.030392695527432022,0.602522879599936,1.0000000000002933,1,5,359,5
repaglinide,True,0.6937981306267808,0.8942750322843647,1,0.030428742397642147,0.602522879599936,1.0000000000006226,1,5,375,5
zafirlukast,True,0.6757925435876108,0.9062373378484946,1,0.030449771825992216,0.602522879599936,1.0000000000000853,1,5,385,5
zileuton,True,0.6586974792811422,0.9169988310348254,1,0.03046975120420833,0.602522879599936,1.000000000000119,1,5,395,5
trazodone,True,0.6586974792811422,0.9169988310348254,1,0.03046975120420833,0.602522879599936,1.000000000000119,1,5,395,5
levothyroxine,True,0.6300100182841445,0.9336461082236969,1,0.030503308196828168,0.602522879599936,1.0000000000004936,1,5,413,5
