gene,ensembl_id,drug_id,drug_name,disease_id,disease_name,phase,mechanism_of_action
JAK1,ENSG00000162434,CHEMBL3622821,UPADACITINIB,MONDO_0008383;MONDO_0004980;MONDO_0005101;MONDO_0005011;MONDO_0011849;MONDO_0008538;MONDO_0008383;MONDO_0005306;MONDO_0011849;MONDO_0005101;MONDO_0005011;MONDO_0004980;MONDO_0017991;MONDO_0005306;MONDO_0019434;MONDO_0007915;MONDO_0006559;MONDO_0005340;MONDO_0008661;HP_0002360;HP_0002094;HP_0012378;HP_0002098;HP_0100543;MONDO_0010030;MONDO_0008558;MONDO_0007191;EFO_0009856;MONDO_0005361;MONDO_0019125;MONDO_0011429;HP_0010447;MONDO_0005083;MONDO_0005265;MONDO_0015925;MONDO_0005011,rheumatoid arthritis;atopic eczema;ulcerative colitis;Crohn disease;psoriatic arthritis;temporal arteritis;rheumatoid arthritis;ankylosing spondylitis;psoriatic arthritis;ulcerative colitis;Crohn disease;atopic eczema;Takayasu arteritis;ankylosing spondylitis;systemic-onset juvenile idiopathic arthritis;systemic lupus erythematosus;hidradenitis suppurativa;alopecia areata;vitiligo;Sleep disturbance;Dyspnea;Fatigue;Respiratory distress;Cognitive impairment;Sjogren syndrome;autoimmune thrombocytopenic purpura;Behcet disease;lichen planopilaris;eosinophilic esophagitis;relapsing polychondritis;juvenile idiopathic arthritis;Anal fistula;psoriasis;inflammatory bowel disease;interstitial lung disease;Crohn disease,APPROVAL,
JAK1,ENSG00000162434,CHEMBL5315119,UPADACITINIB HEMIHYDRATE,MONDO_0008383;MONDO_0005101,rheumatoid arthritis;ulcerative colitis,APPROVAL,
JAK1,ENSG00000162434,CHEMBL3655081,ABROCITINIB,MONDO_0004980;HP_0000964;MONDO_0004980;MONDO_0007915;MONDO_0004670;MONDO_0005083;MONDO_0026045;MONDO_0006554;MONDO_0006611;MONDO_0005147;EFO_0022959;HP_0012378;MONDO_0005340;MONDO_0700226;MONDO_0019810,atopic eczema;Eczematoid dermatitis;atopic eczema;systemic lupus erythematosus;lupus erythematosus;psoriasis;prurigo nodularis;granuloma annulare;skin sarcoidosis;type 1 diabetes mellitus;hand eczema;Fatigue;alopecia areata;food allergy;toxic epidermal necrolysis,APPROVAL,
JAK1,ENSG00000162434,CHEMBL3545249,GLPG-0555,MONDO_0005178,osteoarthritis,PHASE_1,
JAK1,ENSG00000162434,CHEMBL2105759,BARICITINIB,MONDO_0011429;MONDO_0004980;MONDO_0008383;MONDO_0008054;MONDO_0100096;MONDO_0007915;MONDO_0018456;MONDO_0019437;MONDO_0019436;EFO_0009746;MONDO_0005340;MONDO_0019434;MONDO_0005812;MONDO_0100163;MONDO_0100096;MONDO_0006502;MONDO_0005015;MONDO_0016367;MONDO_0005556;MONDO_0017634;MONDO_0004975;HP_0100543;HP_0003546;HP_0002094;MONDO_0005100;MONDO_0005147;MONDO_0019735;MONDO_0005502;MONDO_0018866;MONDO_0009726;MONDO_0009726;Orphanet_51;MONDO_0014405;MONDO_0005249;EFO_1001494;MONDO_0005016;HP_0000964;MONDO_0004980;MONDO_0008538;MONDO_0005388;MONDO_0018866;HP_0001298;Orphanet_51;MONDO_0600023;MONDO_0005249;MONDO_0005147;MONDO_0008661;EFO_0006835;MONDO_0010030;MONDO_0006572;MONDO_0005300;MONDO_0100313;MONDO_0021167;MONDO_0008558;EFO_0007948;MONDO_0002050;MONDO_0006849;MONDO_0005016;EFO_0008517;HP_0100806;MONDO_0005099;MONDO_0018902;MONDO_0017991;MONDO_0015796;MONDO_0001314;HP_0001369;MONDO_0001707;MONDO_0011208;MONDO_0002009;EFO_0000180;MONDO_0020547;MONDO_0004976;MONDO_0019100;Orphanet_2314;MONDO_0002459;GO_0001806;MONDO_0005083;MONDO_0021113;MONDO_0017287;MONDO_0018866;Orphanet_51;MONDO_0015925,juvenile idiopathic arthritis;atopic eczema;rheumatoid arthritis;juvenile dermatomyositis;COVID-19;systemic lupus erythematosus;polyarticular juvenile idiopathic arthritis;enthesitis-related juvenile idiopathic arthritis;psoriasis-related juvenile idiopathic arthritis;extended oligoarticular juvenile idiopathic arthritis;alopecia areata;systemic-onset juvenile idiopathic arthritis;influenza;COVID-19–associated multisystem inflammatory syndrome in children;COVID-19;acute respiratory distress syndrome;diabetes mellitus;dermatomyositis;lupus nephritis;non-infectious anterior uveitis;Alzheimer disease;Cognitive impairment;Exercise intolerance;Dyspnea;systemic sclerosis;type 1 diabetes mellitus;polymyalgia rheumatica;dengue disease;Aicardi-Goutieres syndrome;proteosome-associated autoinflammatory syndrome;proteosome-associated autoinflammatory syndrome;Aicardi-Goutières syndrome;STING-associated vasculopathy with onset in infancy;pneumonia;psoriasis vulgaris;diabetic kidney disease;Eczematoid dermatitis;atopic eczema;temporal arteritis;primary biliary cholangitis;Aicardi-Goutieres syndrome;Encephalopathy;Aicardi-Goutières syndrome;idiopathic inflammatory myopathy;pneumonia;type 1 diabetes mellitus;vitiligo;pyoderma gangrenosum;Sjogren syndrome;lichen planus;chronic kidney disease;focal segmental glomerulosclerosis;myositis disease;autoimmune thrombocytopenic purpura;HIV-associated neurocognitive disorder;depressive disorder;mastitis;diabetic kidney disease;oral lichen planus;Sepsis;subarachnoid hemorrhage;hepatocellular adenoma;Takayasu arteritis;acute lung injury;chondrocalcinosis;Arthritis;cardiac sarcoidosis;malignant atrophic papulosis;major depressive disorder;HIV-1 infection;chronic graft versus host disease;amyotrophic lateral sclerosis;neuromyelitis optica;Autosomal dominant hyper-IgE syndrome;type IV hypersensitivity disease;type IV hypersensitivity;psoriasis;respiratory failure;immunoglobulin G4-related sclerosing disease;Aicardi-Goutieres syndrome;Aicardi-Goutières syndrome;interstitial lung disease,APPROVAL,
JAK1,ENSG00000162434,CHEMBL4297507,DELGOCITINIB,MONDO_0004980;HP_0000964;MONDO_0004980;HP_0000964;MONDO_0002406;EFO_0022959;HP_0000964;MONDO_0007899;MONDO_0004979;MONDO_0005340;MONDO_0005083;MONDO_0019558;EFO_0009855;MONDO_0015597;EFO_0009856;MONDO_0022113,atopic eczema;Eczematoid dermatitis;atopic eczema;Eczematoid dermatitis;dermatitis;hand eczema;Eczematoid dermatitis;lichen sclerosus et atrophicus;asthma;alopecia areata;psoriasis;discoid lupus erythematosus;frontal fibrosing alopecia;palmoplantar pustulosis;lichen planopilaris;central centrifugal cicatricial alopecia,APPROVAL,
JAK1,ENSG00000162434,CHEMBL3545225,INCB-047986,MONDO_0008383;MONDO_0018881;MONDO_0006047;MONDO_0005494,rheumatoid arthritis;myelodysplastic syndrome;pancreatic adenocarcinoma;triple-negative breast carcinoma,PHASE_2,
JAK1,ENSG00000162434,CHEMBL1078178,MOMELOTINIB,MONDO_0044903;MONDO_0005070;MONDO_0044903;MONDO_0044903;MONDO_0009692;MONDO_0005184;MONDO_0026777;MONDO_0009891;HP_0001894;MONDO_0019111;MONDO_0005029;MONDO_0018881;MONDO_0018874;MONDO_0005233;MONDO_0006311;MONDO_0019451;MONDO_0020311,myelofibrosis;neoplasm;myelofibrosis;myelofibrosis;primary myelofibrosis;pancreatic ductal adenocarcinoma;VEXAS syndrome;acquired polycythemia vera;Thrombocytosis;familial thrombocytosis;essential thrombocythemia;myelodysplastic syndrome;acute myeloid leukemia;non-small cell lung carcinoma;myelodysplastic/myeloproliferative neoplasm;chronic neutrophilic leukemia;chronic myelomonocytic leukemia,APPROVAL,
JAK1,ENSG00000162434,CHEMBL4116008,CERDULATINIB,MONDO_0000430;MONDO_0015759;MONDO_0008661;MONDO_0018908;MONDO_0004948;MONDO_0004948;MONDO_0018908;MONDO_0004980,mature T-cell and NK-cell non-Hodgkin lymphoma;B-cell non-Hodgkin lymphoma;vitiligo;non-Hodgkin lymphoma;B-cell chronic lymphocytic leukemia;B-cell chronic lymphocytic leukemia;non-Hodgkin lymphoma;atopic eczema,PHASE_2_3,
JAK1,ENSG00000162434,CHEMBL3301607,FILGOTINIB,MONDO_0008383;MONDO_0008383;MONDO_0005101;MONDO_0005011;MONDO_0011849;MONDO_0005306;MONDO_0005095;MONDO_0011429;MONDO_0005011;MONDO_0005282;MONDO_0010030;MONDO_0005265;MONDO_0020283;MONDO_0007915;MONDO_0005240;MONDO_0600023;MONDO_0007191;MONDO_0017287,rheumatoid arthritis;rheumatoid arthritis;ulcerative colitis;Crohn disease;psoriatic arthritis;ankylosing spondylitis;spondyloarthropathy;juvenile idiopathic arthritis;Crohn disease;cutaneous lupus erythematosus;Sjogren syndrome;inflammatory bowel disease;uveitis;systemic lupus erythematosus;kidney disorder;idiopathic inflammatory myopathy;Behcet disease;immunoglobulin G4-related sclerosing disease,APPROVAL,
